State_Tribe_Territory,County_Name,FIPS_State,FIPS_County,date,order_code,Face_Masks_Required_in_Public,Source_of_Action,URL,Citation
NJ,Essex County,34,13,8/26/2020,1,Yes,Official,https://nj.gov/infobank/eo/056murphy/pdf/EO-163.pdf,"N. J. Exec. Order 163 (July 8, 2020)"
NJ,Essex County,34,13,8/27/2020,1,Yes,Official,https://nj.gov/infobank/eo/056murphy/pdf/EO-163.pdf,"N. J. Exec. Order 163 (July 8, 2020)"
NJ,Essex County,34,13,8/28/2020,1,Yes,Official,https://nj.gov/infobank/eo/056murphy/pdf/EO-163.pdf,"N. J. Exec. Order 163 (July 8, 2020)"
NJ,Essex County,34,13,8/29/2020,1,Yes,Official,https://nj.gov/infobank/eo/056murphy/pdf/EO-163.pdf,"N. J. Exec. Order 163 (July 8, 2020)"
NJ,Essex County,34,13,8/30/2020,1,Yes,Official,https://nj.gov/infobank/eo/056murphy/pdf/EO-163.pdf,"N. J. Exec. Order 163 (July 8, 2020)"
NJ,Essex County,34,13,8/31/2020,1,Yes,Official,https://nj.gov/infobank/eo/056murphy/pdf/EO-163.pdf,"N. J. Exec. Order 163 (July 8, 2020)"
NJ,Essex County,34,13,9/1/2020,1,Yes,Official,https://nj.gov/infobank/eo/056murphy/pdf/EO-163.pdf,"N. J. Exec. Order 163 (July 8, 2020)"
NJ,Essex County,34,13,9/2/2020,1,Yes,Official,https://nj.gov/infobank/eo/056murphy/pdf/EO-163.pdf,"N. J. Exec. Order 163 (July 8, 2020)"
NJ,Essex County,34,13,9/3/2020,1,Yes,Official,https://nj.gov/infobank/eo/056murphy/pdf/EO-163.pdf,"N. J. Exec. Order 163 (July 8, 2020)"
NJ,Essex County,34,13,9/4/2020,1,Yes,Official,https://nj.gov/infobank/eo/056murphy/pdf/EO-163.pdf,"N. J. Exec. Order 163 (July 8, 2020)"
NJ,Essex County,34,13,9/5/2020,1,Yes,Official,https://nj.gov/infobank/eo/056murphy/pdf/EO-163.pdf,"N. J. Exec. Order 163 (July 8, 2020)"
NJ,Essex County,34,13,9/6/2020,1,Yes,Official,https://nj.gov/infobank/eo/056murphy/pdf/EO-163.pdf,"N. J. Exec. Order 163 (July 8, 2020)"
NJ,Essex County,34,13,9/7/2020,1,Yes,Official,https://nj.gov/infobank/eo/056murphy/pdf/EO-163.pdf,"N. J. Exec. Order 163 (July 8, 2020)"
